tempObjectNumber: 55, Title: Fragment of a terracotta plaque,  Period: Archaic,  Date: 7th century B.C.,  Culture: Greek Cretan,  Medium: Terracotta,  Dimensions: 6 in. x 4 3/4 in. (15.2 cm x 12 cm),  Classification: Terracottas,  Credit Line: Gift of Archaeological Institute of America 1953,  Accession Number: 53.5.8
tempObjectNumber: 56, Title: Model of a cart with a human figure,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 4 1/2 in. (11.4 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1794
tempObjectNumber: 57, Title: Gold aureus of Octavian,  Period: Late Republican,  Date: 39 B.C.,  Culture: Roman,  Medium: Gold; minted in Gaul,  Dimensions: Other: 13/16 x 1/8 in. (2.1 x 0.3 cm),  Classification: Coins,  Credit Line: Gift of Joseph H. Durkee 1899,  Accession Number: 99.35.121
tempObjectNumber: 58, Title: Bronze handle of an oinochoe (jug),  Period: Classical,  Date: ca. 425–400 B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: H. 5 7/16 in. (13.7 cm.),  Classification: Bronzes,  Credit Line: Rogers Fund 1908,  Accession Number: 08.258.4
tempObjectNumber: 59, Title: Glass alabastron (perfume bottle),  Period: Classical,  Date: 5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 3 7/8 in. (9.8 cm),  Classification: Glass,  Credit Line: Bequest of Theodore M. Davis 1915,  Accession Number: 30.115.33
tempObjectNumber: 60, Title: Handle of a chariot fragment,  Medium: Iron,  Dimensions: Other: 5 11/16 in. (14.4 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.445
tempObjectNumber: 61, Title: Vase fragment,  Period: Early Helladic,  Date: ca. 3000–2000 B.C.,  Culture: Aegean,  Medium: Terracotta,  Dimensions: Other: 1 5/16in. (3.4cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.98
tempObjectNumber: 62, Title: Vase fragment,  Period: Neolithic first period,  Date: ca. 4000 B.C.,  Culture: Neolithic Nemea,  Medium: Terracotta,  Dimensions: length  1 3/4in. (4.5cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.45
tempObjectNumber: 63, Title: Askos,  Period: Middle Cypriot,  Date: 1900–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 2 7/8in. (7.3cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1147
tempObjectNumber: 64, Title: Dinos,  Period: Cypro-Archaic II,  Date: 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 10 1/4in. (26cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.481
