tempObjectNumber: 1, Title: Kylix fragment,  Attribution: Douris,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: greatest dim.  6.17 cm.,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1973,  Accession Number: 1973.175.7
tempObjectNumber: 69, Title: Ring,  Medium: gold,  Dimensions: Other: 5/8 x 5/8 x 1/4 in. (1.6 x 1.6 x 0.7 cm),  Classification: Gems,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.300
tempObjectNumber: 70, Title: Bronze handle of a bowl or basin,  Period: Classical,  Date: 5th century B.C. or later,  Culture: Greek,  Medium: bronze,  Dimensions: length  6 1/8 in. (15.6 cm),  Classification: Bronzes,  Credit Line: Purchase Sarah Campbell Blaffer Foundation Gift 1998,  Accession Number: 1998.26
tempObjectNumber: 71, Title: Glass cup,  Period: Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 3 1/4 x 1 9/16 in. (8.3 x 4 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.131
tempObjectNumber: 72, Title: Bronze statuette of Apollo,  Period: Classical,  Date: ca. 500 B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: Overall: 4 3/8 x 5/8 x 2 in. (11.1 x 1.6 x 5.1 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.91
tempObjectNumber: 73, Title: Glass alabastron (perfume bottle),  Period: Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Eastern Mediterranean or Italian,  Medium: Glass; core-formed Group II,  Dimensions: H.: 5 1/8 in. (13 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.777
tempObjectNumber: 74, Title: Silver tetradrachm of Antiochos III,  Period: Hellenistic,  Date: ca. 222–187 B.C.,  Culture: Greek Seleucid,  Medium: Silver,  Dimensions: Diameter: 1 1/8 × 1/16 in. 0.6oz. (2.8 × 0.2 cm 16.51g),  Classification: Coins,  Credit Line: Gift of Ann Payne Blumenthal 1936,  Accession Number: 36.45
tempObjectNumber: 75, Title: Pair of gold rattles,  Period: Archaic,  Date: 6th century B.C.,  Culture: East Greek,  Medium: Gold,  Dimensions: Diam.: 1 3/8 in. (3.5 cm),  Classification: Gold and Silver,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1992,  Accession Number: 1992.266.11 .12
tempObjectNumber: 76, Title: Lekythos,  Attribution: the Class of Athens 581,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 19.10 cm.,  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.167
tempObjectNumber: 77, Title: Lamp,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 x 3 3/4 in. (2.5 x 9.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2195
tempObjectNumber: 78, Title: Limestone funerary bust of a beardless man,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 9 1/4 x 4 7/8 x 5 1/2 in. (23.5 x 12.4 x 14 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2770
tempObjectNumber: 79, Title: Fragment of a terracotta kylix (drinking cup),  Attribution: the Foundry Painter,  Period: Classical,  Date: ca. 480–470 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Other: 1 7/8 x 4 7/8 in. (4.8 x 12.4 cm),  Classification: Vases,  Credit Line: Gift of Miss Matilda W. Bruce 1907,  Accession Number: 07.156.8
tempObjectNumber: 80, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 7/8 x 1 in. (2.3 x 2.5 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1779
tempObjectNumber: 81, Title: Gold earring with head of a bull,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 7/16 x 1/8 x 7/16 in. (1.1 x 0.3 x 1.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3423
tempObjectNumber: 82, Title: Marble portrait of a man,  Period: Late Republican or Early Augustan,  Date: late 1st century B.C.,  Culture: Roman,  Medium: Marble,  Dimensions: 12 3/8 x 7 3/4 x 7 3/4 in.  (31.5 x 19.7 x 19.7 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.14
tempObjectNumber: 83, Title: Bronze hook from a belt,  Period: Late Classical,  Date: late 5th–early 4th century B.C.,  Culture: Italic Samnite,  Medium: Bronze,  Dimensions: length  4 1/2in. (11.4cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1908,  Accession Number: 08.3b
tempObjectNumber: 84, Title: Marble portrait of a veiled man,  Period: Late Imperial,  Date: mid-3rd century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: H.: 3 in. (7.6 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.113
tempObjectNumber: 85, Title: Vase fragment,  Culture: Roman Gaul,  Medium: Terracotta,  Dimensions: 1 1/2 × 1 × 3/16 in. (3.8 × 2.6 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2024
tempObjectNumber: 86, Title: Ring,  Medium: Silver onyx paste,  Dimensions: Other: 3/4 x 1/2 in. (1.9 x 1.3 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4279
