tempObjectNumber: 75, Title: Potter's stamp,  Culture: Roman,  Medium: Terracotta,  Dimensions: length     6.86 cm.,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1922
tempObjectNumber: 76, Title: Terracotta fragmentary  neck-amphora,  : Signed by Nikosthenes as potter,  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Classification: Vases,  Credit Line: Gift of Jan Mitchell 1972,  Accession Number: 1972.165
tempObjectNumber: 77, Title: Gold earring with pendant,  Period: Mid Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 7/16 x 3/16 x 1 1/16 in. (1.1 x 0.5 x 2.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3768
tempObjectNumber: 78, Title: Terracotta head of a man,  Period: Cypro-Archaic II,  Date: ca. 600 B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 8 3/4 in. (22.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1443
tempObjectNumber: 79, Title: Tile fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: 9 3/4 × 11 1/2 × 2 3/16 in. (24.8 × 29.2 × 5.5 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.301
tempObjectNumber: 80, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 3 15/16 in. (10 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1318
tempObjectNumber: 81, Title: Bronze patera (salver),  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: diameter  18 1/2 in. (47 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1903,  Accession Number: 03.23.11
tempObjectNumber: 82, Title: Terracotta hydria (water jar),  Period: Archaic,  Date: ca. 520–500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Other (diameter at shoulder): 12 5/8in. (32.1cm),  Classification: Vases,  Credit Line: Rogers Fund 1912,  Accession Number: 12.198.3
tempObjectNumber: 83, Title: Gold stater,  Period: Early Hellenistic,  Date: ca. 323/2–315 B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: 18 mm.,  Classification: Coins,  Credit Line: Gift of J. Pierpont Morgan 1905,  Accession Number: 05.44.384
tempObjectNumber: 84, Title: Glass astragal (knucklebone),  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Glass; cast in a two-part mold,  Dimensions: Overall: 5/8 x 3/8 x 5/16 in. (1.6 x 1 x 0.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.565
tempObjectNumber: 85, Title: Terracotta barrel jug with strainer,  Period: Cypro-Archaic I,  Date: ca. 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: diameter  3 15/16 in. (10 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.517
tempObjectNumber: 86, Title: Limestone statuette of a kriophoros (ram-bearer),  Period: Archaic,  Date: ca. 600 B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 9 3/4 × 3 1/4 × 4 in. (24.8 × 8.3 × 10.2 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2550
tempObjectNumber: 87, Title: Finial of a marble stele (grave marker),  Period: Archaic,  Date: ca. 525–500 B.C.,  Culture: Greek Attic,  Medium: Marble,  Dimensions: thickness of shaft at bottom  4 3/8 in. (11.1 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.179
tempObjectNumber: 88, Title: Cameo,  Culture: Roman,  Medium: Glass green,  Dimensions: Other: 9/16 x 3/8 x 1/8 in. (1.4 x 1 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.951
tempObjectNumber: 89, Title: Terracotta amphora (jar),  Attribution: a painter of Bateman Group,  Period: Archaic,  Date: ca. 530 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: diameter  8 7/16 in. (21.4 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.7
