tempObjectNumber: 54, Title: Earring with plain loop and disc,  Medium: Gold,  Dimensions: Other: 1/2 x 3/16 x 9/16 in. (1.2 x 0.5 x 1.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3721
tempObjectNumber: 55, Title: Bronze steelyard,  Period: Imperial,  Date: ca. 2nd–4th century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: Other: 24 5/8 in. (62.5 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.14
tempObjectNumber: 56, Title: Amphora miniature,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: H. 4 1/16 in. (10.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.251
tempObjectNumber: 57, Title: Bronze oinochoe (jug),  Period: Classical,  Date: early 5th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H.: 9 1/4 in. (23.5 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1913,  Accession Number: 13.232.2
tempObjectNumber: 58, Title: Vase fragment,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: width     9.50 cm.,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2086
tempObjectNumber: 59, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Agate,  Dimensions: Other: 9/16 x 7/16 x 1/16 in. (1.4 x 1.1 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.549
tempObjectNumber: 60, Title: Terracotta statuette of a seated woman,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Greek probably Attic,  Medium: ,  Dimensions: H. 7 15/16 in. (20.2 cm),  Classification: Terracottas,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.122
tempObjectNumber: 61, Title: Askos in the form of an animal,  Period: Middle Cypriot,  Date: 1900–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 6 3/16in. (15.7cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.790
tempObjectNumber: 62, Title: Fragment of a terracotta column-krater (mixing bowl for wine and water),  Attribution: the Florence Painter,  Period: Classical,  Date: ca. 460 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  12 3/16 in. (31 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1927,  Accession Number: 27.122.28
tempObjectNumber: 63, Title: Head,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 3 1/2 in. (8.9 cm),  Classification: Terracottas,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.449
tempObjectNumber: 64, Title: Gold bead,  Period: Late Bronze Age,  Date: ca. 1450–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 3/8 in. (1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3140
