tempObjectNumber: 79, Title: Terracotta scyphus (drinking cup),  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Terracotta; lead-glazed ware,  Dimensions: diameter  3 11/16 in. (9.4 cm),  Classification: Vases,  Credit Line: Purchase 1915,  Accession Number: 15.163.2
tempObjectNumber: 80, Title: Glass fragment of a striped mosaic bowl,  Period: Early Imperial,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Other: 1 x 1 1/8 in. (2.5 x 2.9 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1777
tempObjectNumber: 81, Title: Lamp saucer-shaped,  Date: 4th century B.C.,  Medium: Terracotta,  Dimensions: Overall: 1 5/8 x 4 3/4 in. (4.1 x 12.1 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1896
tempObjectNumber: 82, Title: Frontlet of gold leaf,  Medium: Gold,  Dimensions: Other: 15/16 × 4 5/8 in. (2.5 × 11.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3541
tempObjectNumber: 83, Title: Ring,  Medium: Silver,  Dimensions: Diam. (ring diameter): 11/16 in. (1.8 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4063
tempObjectNumber: 84, Title: Terracotta oinochoe (jug),  Period: Geometric,  Date: early 7th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: H. 2 7/16 in. (6.2 cm),  Classification: Vases,  Credit Line: Gift of the Greek Government 1930,  Accession Number: 30.118.76
tempObjectNumber: 85, Title: Jug,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 6 3/4 in. (17.1 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1065
tempObjectNumber: 86, Title: Vase fragment,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Overall: 4 7/16 x 3 5/8in. (11.3 x 9.2cm),  Classification: Vases,  Credit Line: Rogers Fund 1916,  Accession Number: 16.174.34.16
tempObjectNumber: 87, Title: Terracotta indented beaker,  Period: Late Imperial,  Date: mid-2nd–early 3rd century A.D.,  Culture: Roman,  Medium: Terracotta indented beaker probably made at Trier; Central Gaulish black-slipped ware,  Dimensions: H. 7 1/2 in. (19.1 cm); diameter 5 3/4 in. (14.6 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.873
tempObjectNumber: 88, Title: Glass cup,  Period: Early Imperial Julio-Claudian,  Date: mid-1st century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: Overall: 2 7/8 x 3 11/16in. (7.4 x 9.3cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.293
tempObjectNumber: 89, Title: Lamp concave top,  Date: 1st century B.C.–1st century A.D.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 1/8 x 3 7/16 in. (2.9 x 8.7 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1846
tempObjectNumber: 90, Title: Tile,  Culture: Roman,  Medium: Clay,  Dimensions: Other: 13 3/8 x 1 x 27 1/2 in. (34 x 2.5 x 69.9 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2374
