tempObjectNumber: 77, Title: Fragmentary stone axe,  Period: Neolithic,  Date: 5th–3rd millennium B.C.,  Culture: Greek Neolithic,  Medium: Stone,  Dimensions: W. 2 1/8 in. (5.4 cm.),  Classification: Miscellaneous-Stone,  Credit Line: Gift of Garrett Chatfield Pier 1910,  Accession Number: 10.224.1
tempObjectNumber: 78, Title: Glass beaker or lamp,  Period: Late Imperial,  Date: 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; blown in a dip mold,  Dimensions: Diam.: 3 1/2 in. (8.9 cm),  Classification: Glass,  Credit Line: Rogers Fund 1930,  Accession Number: 30.40.16
tempObjectNumber: 79, Title: Marble handleless cup,  Period: Middle Minoan I–II,  Date: ca. 2000–1700 B.C.,  Culture: Minoan,  Medium: Marble Gray Banded,  Dimensions: H. 2 3/8 in. (6 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: Funds from various donors 1924,  Accession Number: 24.150.7
tempObjectNumber: 80, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 3 1/16 in. (7.8 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1394
tempObjectNumber: 81, Title: Steatite conoid seal,  Period: Early Minoan III,  Date: ca. 2400–2200 B.C.,  Culture: Minoan,  Medium: Steatite,  Dimensions: Diameter 1.5 cm; H. 1.05 cm,  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.40
tempObjectNumber: 82, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 x 3 5/8 in. (2.5 x 9.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2109
tempObjectNumber: 83, Title: Terracotta lebes gamikos (jar with lid foot and handles associated with weddings),  Attribution: the Group of New York 28.57.10,  Period: Late Classical,  Date: ca. 340–320 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: H. 15 1/16 in. (38.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1917,  Accession Number: 17.46.2
tempObjectNumber: 84, Title: Vase fragment,  Culture: Roman Gaul,  Medium: Terracotta,  Dimensions: 2 3/8 × 3 3/16 × 5/16 in. (6 × 8 × 0.8 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2372
tempObjectNumber: 85, Title: Terracotta kylix (cup),  Period: Cypro-Geometric III,  Date: 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 4 1/2 in. (11.4 cm); diameter  6 1/4 in. (15.9 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.514
tempObjectNumber: 86, Title: Faience bowl,  Period: Late Bronze Age,  Date: ca. 1200 B.C.,  Culture: Cypriot,  Medium: Faience,  Dimensions: H. 1 9/16 in. (4 cm); Diameter 3 13/16 in. (9.7 cm),  Classification: Miscellaneous-Faience,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5076
