tempObjectNumber: 1, Title: Head of a youth,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 3 3/4 in. (9.5 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.22
tempObjectNumber: 53, Title: Glass oinochoe (perfume jug),  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 3 1/2 in. (8.9 cm),  Classification: Glass,  Credit Line: Bequest of Theodore M. Davis 1915,  Accession Number: 30.115.37
tempObjectNumber: 54, Title: Bronze statuette of Tyche (Good Fortune),  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 4 in. (10.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1913,  Accession Number: 13.227.8
tempObjectNumber: 55, Title: Gold earring with head of a bull,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 1/2 x 3/16 x 5/8 in. (1.3 x 0.5 x 1.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3431
tempObjectNumber: 56, Title: Seal,  Culture: Minoan Crete,  Medium: Steatite,  Dimensions: Other: 1/2 x 3/16 in. (1.3 x 0.5 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.315
tempObjectNumber: 57, Title: Terracotta head of Pan,  Period: Hellenistic,  Date: 3rd–1st century B.C.,  Culture: Greek Asia Minor,  Medium: Terracotta,  Dimensions: H. 2 9/32 in. (5.8 cm),  Classification: Terracottas,  Credit Line: Gift of Mrs. Lucy W. Drexel 1889,  Accession Number: 89.2.2062
tempObjectNumber: 58, Title: Pinhead,  Medium: Glass,  Dimensions: Height: 1/4 x 3/4 in. (0.6 x 1.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.826
tempObjectNumber: 59, Title: Four terracotta disks,  Period: Hellenistic,  Date: 3rd–early 2nd century B.C.,  Culture: Greek South Italian,  Medium: Terracotta,  Dimensions: diameter of each  1 15/16 in.  (4.9 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1912,  Accession Number: 12.232.21a–d
tempObjectNumber: 60, Title: Fragments of the marble stele (grave marker) of a woman holding a baby,  Period: Classical,  Date: ca. 400–375 B.C.,  Culture: Greek Attic,  Medium: Marble Parian,  Dimensions: total H. 33 1/8 in. (84.2 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1952,  Accession Number: 52.11.3
tempObjectNumber: 61, Title: Earring crescent-shaped,  Medium: Gold,  Dimensions: Other: 11/16 × 3/4 × 1/8 in. (1.8 × 2 × 0.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3876
tempObjectNumber: 62, Title: Cup,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Other (height with handle): 2 11/16in. (6.8cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.103
